playlist_name,playlist_id,id,name,duration,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,1wyo8plJbo1BO9s8TWqZpN,How Long Will I Love You - Bonus Track,154.435,0.512,0.304,0,-9.19,0.0318,0.295,0.000622,0.118,0.172,126.078,5
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,0GjEhVFGZW8afUYGChu3Rr,Dancing Queen,230.4,0.543,0.87,9,-6.514,0.0428,0.358,0.000939,0.792,0.754,100.804,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,45lTNyyHpgwGhVnaphmSXw,Blame It on the Boogie,210.533,0.771,0.786,8,-6.299,0.0904,0.0784,0,0.122,0.872,113.281,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,2vz1CsL5WBsbpBcwgboTAw,"Footloose - From ""Footloose"" Soundtrack",226.826,0.583,0.905,2,-6.132,0.0733,0.0984,0.00019,0.0593,0.646,173.982,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,4W4wYHtsrgDiivRASVOINL,Love Shack,320.68,0.701,0.803,5,-6.786,0.0545,0.0544,1.54e-06,0.7,0.903,133.608,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,52xaypL0Kjzk0ngwv3oBPR,Beat It,258.266,0.762,0.8,3,-6.244,0.0449,0.027,5.83e-05,0.17,0.9,138.823,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,3ypMsqUwfNFMiooMLVHfkp,YMCA,202.573,0.742,0.696,6,-7.871,0.0735,0.19,0,0.151,0.84,126.432,3
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,2a1MrtxYybqFV1Ow8VJ1dW,I Will Survive - Rerecorded,265.026,0.673,0.752,9,-7.978,0.0491,0.00309,0,0.112,0.576,120.041,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,77NNZQSqzLNqh2A9JhLRkg,Don't Stop Believin',248.906,0.491,0.802,4,-7.106,0.0392,0.25,0,0.387,0.472,119.25,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,3bYCGWnZdLQjndiKogqA3G,Summer Of '69,216.053,0.507,0.843,2,-6.137,0.0379,0.0191,0,0.08,0.704,139.136,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,6UIwfaQh9RP2anZ5OMQPfX,Mamma Mia,210.96,0.732,0.814,2,-5.327,0.0313,0.393,0.000257,0.355,0.838,137.575,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,1Je1IMUlBXcx1Fz0WE7oPT,Wannabe,173.026,0.768,0.864,11,-6.145,0.0324,0.101,0,0.162,0.891,110.008,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,3FteycP8CaXS1MhjcXekVT,Stop,204.753,0.722,0.845,2,-4.446,0.0308,0.287,0,0.0561,0.965,130.13,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,6byrsh3Ezc2GMOkSEeRlUW,Waterloo,166.493,0.439,0.874,2,-6.907,0.0412,0.315,0,0.184,0.792,147.654,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,6ZEAXknmx2mrO3KgcDNpFI,Wake Me Up Before You Go-Go,223.066,0.586,0.651,0,-10.16,0.048,0.144,0,0.489,0.901,81.397,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,2tUBqZG2AbRi7Q0BIrVrEj,I Wanna Dance with Somebody (Who Loves Me),291.293,0.709,0.824,1,-8.824,0.0453,0.207,0.000307,0.0888,0.867,118.818,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,0eWSqM7lUV0M6ug5BbBHso,Billie Jean,294.0,0.92,0.579,11,-5.519,0.0414,0.0168,0.0538,0.0419,0.839,117.083,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,1AhDOtG9vPSOmsWgNW0BEY,Bohemian Rhapsody - Remastered 2011,354.32,0.414,0.404,0,-9.928,0.0499,0.271,0,0.3,0.224,71.105,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,70cTMpcgWMcR18t9MRJFjB,I Gotta Feeling,289.133,0.743,0.766,0,-6.375,0.0265,0.0873,0,0.509,0.61,127.96,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,5T8EDUDqKcs6OSOwEsfqG7,Don't Stop Me Now - Remastered 2011,209.413,0.559,0.868,5,-5.276,0.17,0.0475,0.000176,0.776,0.609,156.295,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,7o2CTH4ctstm8TNelqjb51,Sweet Child O' Mine,354.52,0.454,0.91,6,-7.766,0.0448,0.0866,0.0996,0.116,0.629,125.116,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,05wIrZSwuaVWhcv5FfqeH0,Walking On Sunshine,238.733,0.596,0.869,10,-11.97,0.037,0.0116,0.173,0.0678,0.944,109.902,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,2tyW1uBUnYMKAFEfKDKi9B,Livin' On A Prayer,250.306,0.559,0.687,0,-10.912,0.0311,0.0591,3.59e-05,0.0896,0.854,122.666,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,4aMT5LHe8A2uIc11H8Cx2m,Conga,255.106,0.791,0.805,2,-10.202,0.0464,0.16,0.0583,0.0563,0.882,122.219,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,5k5U7YXpf4FDY5jLDzBArn,"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack",288.986,0.698,0.81,6,-7.898,0.0531,0.087,0.00678,0.06,0.39,108.695,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,3MjUtNVVq3C8Fn0MP3zhXa,...Baby One More Time,211.066,0.759,0.699,0,-5.745,0.0307,0.202,0.000131,0.443,0.907,92.96,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,6I9VzXrHxO9rA9A5euc8Ak,Toxic,198.8,0.774,0.838,5,-3.914,0.114,0.0249,0.025,0.242,0.924,143.04,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,5qGwqO0lkbBXw4xNfzT7SF,Spice Up Your Life,173.666,0.556,0.993,1,-5.067,0.0464,0.0105,0.0341,0.403,0.702,124.016,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,6F5c58TMEs1byxUstkzVeM,Roar,223.546,0.554,0.772,7,-4.821,0.0418,0.00487,6.6e-06,0.354,0.455,179.984,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,6MnWfOgKRkQtY1pRgoTwB1,Reach,243.265,0.597,0.793,7,-7.006,0.0361,0.0123,5.45e-06,0.157,0.755,167.2,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,4dzreTCcGVgeF1vCcd22AC,Don't Stop Movin',233.626,0.822,0.672,7,-6.133,0.0329,0.0285,0,0.213,0.91,117.033,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,3v0uXfyMEZ1lGvBOv1Y4ar,Bring It All Back,214.4,0.679,0.903,4,-4.914,0.0463,0.333,0,0.372,0.872,108.114,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,5UWYJWoVXRpaLuzzXmHqg8,9 To 5,162.466,0.554,0.783,6,-5.852,0.0457,0.416,1.54e-06,0.631,0.813,105.39,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,3zKjn4QnDvi8pCu8brRM7v,Our House,203.12,0.589,0.715,0,-6.073,0.0401,0.0884,0.00105,0.0559,0.806,120.999,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,5j4RaTG3kjLlreau6KjLrf,Baggy Trousers,166.76,0.641,0.888,0,-5.213,0.0364,0.144,0,0.347,0.958,144.786,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,2sB26pWHOIscSdBP4sBMBN,Cha Cha Slide,220.613,0.854,0.888,9,-7.491,0.139,0.0394,0.00527,0.313,0.851,131.034,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,4y1LsJpmMti1PfRQV9AWWe,Girls Just Want to Have Fun,238.266,0.71,0.799,6,-4.897,0.0328,0.22,0.000602,0.349,0.725,120.372,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,4XJgkeu052kEf1AIfXDlHQ,Star Girl,207.506,0.481,0.662,3,-3.957,0.0311,0.00255,0,0.0622,0.764,156.2,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,26QkYH0dmzPQBprter9Jsw,Five Colours In Her Hair,177.453,0.464,0.901,7,-3.421,0.0462,0.0264,0,0.233,0.636,97.978,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,1CSLeVCXmetBh8IkTPMFdL,I'm a Believer,165.613,0.502,0.772,0,-6.205,0.0322,0.595,2.47e-06,0.199,0.935,79.463,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,6mOdbqSh2fLyfVMudAqH3J,Accidentally In Love,188.893,0.553,0.931,7,-3.663,0.0378,0.0452,3.23e-06,0.0871,0.815,137.992,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,5Hyr47BBGpvOfcykSCcaw9,"Holding Out for a Hero - From ""Footloose"" Soundtrack",348.333,0.616,0.685,9,-15.289,0.04,0.0245,1.13e-05,0.0491,0.895,150.055,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,1FHNctV68GUNLgXclG2DtR,Dancing in the Moonlight,233.373,0.639,0.845,0,-3.333,0.0372,0.0528,0,0.336,0.871,119.48,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,5cP52DlDN9yryuZVQDg3iq,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,285.373,0.704,0.834,10,-7.131,0.0358,0.0291,0.00492,0.147,0.923,103.555,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,2oTDOIAdsxPTE7yAp4YOcv,Jump Around,214.946,0.854,0.71,4,-6.32,0.0793,0.0113,8.72e-05,0.166,0.818,106.894,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,4kbj5MwxO1bq9wjT5g9HaA,Shut Up and Dance,199.08,0.578,0.866,1,-3.804,0.0619,0.00701,0,0.257,0.619,128.038,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,3HRQtRUYnnuZY7fE900XtJ,Don't Stop Believin',248.2,0.495,0.781,4,-8.109,0.0413,0.254,0,0.395,0.473,119.206,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,5pWRdriPCFhfz0JSswkdHo,Year 3000,196.2,0.595,0.851,11,-6.647,0.0367,0.000212,0,0.096,0.895,107.025,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,3LI4MmibTkXH5cGpCGZgyw,Teenage Dirtbag,241.84,0.617,0.84,4,-4.063,0.0512,0.36,8.85e-05,0.179,0.57,94.676,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,7hCNBVRhHzcsRAv0TQnOzq,Runaway Baby,147.746,0.656,0.767,11,-3.038,0.0396,0.25,0,0.114,0.871,163.834,4
Wedding - Evening,7DnACkveVMy4PUm8Kh188x,6SKwQghsR8AISlxhcwyA9R,Marry You,230.12,0.62,0.832,10,-4.848,0.036,0.332,0,0.104,0.481,144.926,4
